,,,≥ 10,,,,≥ 10,,,,≥ 10,,,,≥ 10,,,,≥ 10,,,,≥ 10,,,,≥ 10,
,Median,,Median,,Median,,Median,,Median,,Median,,Median,,Median,,Median,,Median,,Median,,Median,,Median,,Median,
Field of study and sex,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE,salary,SE
Male,"89,000","2,500","129,000","3,000",S,S,"150,000","4,500","99,000","1,000","108,000","2,500","95,000","1,500","99,000","4,500","71,000","7,500","79,000","13,000",D,D,D,D,"60,000","2,500","116,000","15,500"
Female,"85,000","3,500","120,000","8,500",D,D,"165,000","8,000","94,000","15,500","109,000","4,000","94,000","2,500","110,000","8,000","78,000","5,000","74,000","5,500",D,D,D,D,"63,000","2,500","90,000","12,000"
Health,"82,000","1,500","117,000","2,500","107,000","16,500","141,000","9,000","91,000","5,500","109,000","2,500","84,000","2,500","91,000","5,500","55,000","6,500","73,000","14,000",D,D,D,D,"59,000","3,500","104,000","14,500"
Male,"72,000","3,000","119,000","7,500",S,S,"149,000","7,500","90,000","15,000","108,000","2,500","77,000","5,000","86,000","5,000","52,000","5,500",S,S,D,D,D,D,"56,000","3,500","109,000","28,500"
Female,"84,000","1,000","115,000","3,500","103,000","24,500","130,000","8,500","93,000","6,000","110,000","4,500","85,000","1,000","96,000","5,000","66,000","8,500",D,D,D,D,D,D,"61,000","6,000","99,000","15,000"
D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE = standard error.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Median annual salaries are for principal job and are rounded to nearest $1,000. Standard errors are rounded up to the nearest $500. Full time is based on working 35 or more hours per week. Four-year educational institutions include 4-year colleges or universities, medical schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(including university-affiliated hospitals or medical centers), and university-affiliated research institutes. Residence location is based on reported living location on 1 February 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Center for Science and Engineering Statistics, Survey of Doctorate Recipients, 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
